Date,Year,Month,Value
2014-10-01 ,2014,10-01 ,NA
2014-10-09 ,2014,10-09 ,85
2014-10-17 ,2014,10-17 ,NA
2014-10-22 ,2014,10-22 ,NA
2014-10-27 ,2014,10-27 ,NA
2013-04-09 ,2013,04-09 ,NA
2013-04-16 ,2013,04-16 ,NA
2013-05-06 ,2013,05-06 ,NA
2013-05-07 ,2013,05-07 ,NA
2013-05-12 ,2013,05-12 ,NA
2013-05-13 ,2013,05-13 ,NA
2013-05-16 ,2013,05-16 ,65
2013-05-21 ,2013,05-21 ,NA
2013-05-23 ,2013,05-23 ,NA
2013-05-27 ,2013,05-27 ,NA
2013-05-29 ,2013,05-29 ,70
2013-05-30 ,2013,05-30 ,NA
2013-06-01 ,2013,06-01 ,NA
2013-06-02 ,2013,06-02 ,NA
2013-06-03 ,2013,06-03 ,NA
2013-06-04 ,2013,06-04 ,NA
2013-06-09 ,2013,06-09 ,NA
2013-06-10 ,2013,06-10 ,72
2013-06-14 ,2013,06-14 ,NA
2013-06-16 ,2013,06-16 ,NA
2013-06-18 ,2013,06-18 ,73
2013-06-19 ,2013,06-19 ,NA
2013-06-21 ,2013,06-21 ,NA
2013-06-23 ,2013,06-23 ,NA
2013-06-24 ,2013,06-24 ,NA
2013-06-29 ,2013,06-29 ,NA
2013-06-30 ,2013,06-30 ,NA
2013-07-01 ,2013,07-01 ,86
2013-07-06 ,2013,07-06 ,NA
2013-07-07 ,2013,07-07 ,NA
2013-07-13 ,2013,07-13 ,NA
2013-07-14 ,2013,07-14 ,NA
2013-07-16 ,2013,07-16 ,NA
2013-07-18 ,2013,07-18 ,74
2013-07-21 ,2013,07-21 ,NA
2013-07-23 ,2013,07-23 ,NA
2013-07-25 ,2013,07-25 ,NA
2013-07-26 ,2013,07-26 ,NA
2013-07-29 ,2013,07-29 ,NA
2013-07-30 ,2013,07-30 ,84
2013-08-02 ,2013,08-02 ,NA
2013-08-05 ,2013,08-05 ,NA
2013-08-07 ,2013,08-07 ,NA
2013-08-09 ,2013,08-09 ,NA
2013-08-10 ,2013,08-10 ,NA
2013-08-11 ,2013,08-11 ,NA
2013-08-15 ,2013,08-15 ,NA
2013-08-18 ,2013,08-18 ,NA
2013-08-19 ,2013,08-19 ,NA
2013-08-23 ,2013,08-23 ,NA
2013-08-24 ,2013,08-24 ,NA
2013-08-25 ,2013,08-25 ,NA
2013-08-31 ,2013,08-31 ,NA
2013-09-01 ,2013,09-01 ,NA
2013-09-02 ,2013,09-02 ,NA
2013-09-04 ,2013,09-04 ,NA
2013-09-07 ,2013,09-07 ,NA
2013-09-08 ,2013,09-08 ,NA
2013-09-12 ,2013,09-12 ,89
2013-09-13 ,2013,09-13 ,NA
2013-09-17 ,2013,09-17 ,NA
2013-09-22 ,2013,09-22 ,NA
2013-09-24 ,2013,09-24 ,81
2013-09-29 ,2013,09-29 ,NA
2013-10-01 ,2013,10-01 ,NA
2013-10-09 ,2013,10-09 ,NA
2013-10-17 ,2013,10-17 ,NA
2013-10-22 ,2013,10-22 ,NA
2013-10-27 ,2013,10-27 ,NA
2012-04-09 ,2012,04-09 ,71
2012-04-16 ,2012,04-16 ,71
2012-05-06 ,2012,05-06 ,NA
2012-05-07 ,2012,05-07 ,74
2012-05-12 ,2012,05-12 ,NA
2012-05-13 ,2012,05-13 ,NA
2012-05-16 ,2012,05-16 ,NA
2012-05-21 ,2012,05-21 ,67
2012-05-23 ,2012,05-23 ,NA
2012-05-27 ,2012,05-27 ,NA
2012-05-29 ,2012,05-29 ,NA
2012-05-30 ,2012,05-30 ,68
2012-06-01 ,2012,06-01 ,NA
2012-06-02 ,2012,06-02 ,NA
2012-06-03 ,2012,06-03 ,NA
2012-06-04 ,2012,06-04 ,80
2012-06-09 ,2012,06-09 ,NA
2012-06-10 ,2012,06-10 ,NA
2012-06-14 ,2012,06-14 ,68
2012-06-16 ,2012,06-16 ,NA
2012-06-18 ,2012,06-18 ,NA
2012-06-19 ,2012,06-19 ,62
2012-06-21 ,2012,06-21 ,NA
2012-06-23 ,2012,06-23 ,NA
2012-06-24 ,2012,06-24 ,NA
2012-06-29 ,2012,06-29 ,NA
2012-06-30 ,2012,06-30 ,NA
2012-07-01 ,2012,07-01 ,68
2012-07-06 ,2012,07-06 ,NA
2012-07-07 ,2012,07-07 ,NA
2012-07-13 ,2012,07-13 ,68
2012-07-14 ,2012,07-14 ,NA
2012-07-16 ,2012,07-16 ,NA
2012-07-18 ,2012,07-18 ,NA
2012-07-21 ,2012,07-21 ,NA
2012-07-23 ,2012,07-23 ,65
2012-07-25 ,2012,07-25 ,NA
2012-07-26 ,2012,07-26 ,NA
2012-07-29 ,2012,07-29 ,NA
2012-07-30 ,2012,07-30 ,NA
2012-08-02 ,2012,08-02 ,NA
2012-08-05 ,2012,08-05 ,NA
2012-08-07 ,2012,08-07 ,72
2012-08-09 ,2012,08-09 ,NA
2012-08-10 ,2012,08-10 ,NA
2012-08-11 ,2012,08-11 ,NA
2012-08-15 ,2012,08-15 ,NA
2012-08-18 ,2012,08-18 ,NA
2012-08-19 ,2012,08-19 ,NA
2012-08-23 ,2012,08-23 ,69
2012-08-24 ,2012,08-24 ,NA
2012-08-25 ,2012,08-25 ,NA
2012-08-31 ,2012,08-31 ,NA
2012-09-01 ,2012,09-01 ,NA
2012-09-02 ,2012,09-02 ,NA
2012-09-04 ,2012,09-04 ,68
2012-09-07 ,2012,09-07 ,NA
2012-09-08 ,2012,09-08 ,NA
2012-09-12 ,2012,09-12 ,NA
2012-09-13 ,2012,09-13 ,NA
2012-09-17 ,2012,09-17 ,63
2012-09-22 ,2012,09-22 ,NA
2012-09-24 ,2012,09-24 ,NA
2012-09-29 ,2012,09-29 ,NA
2012-10-01 ,2012,10-01 ,67
2012-10-09 ,2012,10-09 ,NA
2012-10-17 ,2012,10-17 ,64
2012-10-22 ,2012,10-22 ,NA
2012-10-27 ,2012,10-27 ,NA
2011-04-09 ,2011,04-09 ,NA
2011-04-16 ,2011,04-16 ,NA
2011-05-06 ,2011,05-06 ,NA
2011-05-07 ,2011,05-07 ,NA
2011-05-12 ,2011,05-12 ,NA
2011-05-13 ,2011,05-13 ,NA
2011-05-16 ,2011,05-16 ,NA
2011-05-21 ,2011,05-21 ,NA
2011-05-23 ,2011,05-23 ,NA
2011-05-27 ,2011,05-27 ,NA
2011-05-29 ,2011,05-29 ,NA
2011-05-30 ,2011,05-30 ,NA
2011-06-01 ,2011,06-01 ,68
2011-06-02 ,2011,06-02 ,NA
2011-06-03 ,2011,06-03 ,NA
2011-06-04 ,2011,06-04 ,NA
2011-06-09 ,2011,06-09 ,NA
2011-06-10 ,2011,06-10 ,NA
2011-06-14 ,2011,06-14 ,NA
2011-06-16 ,2011,06-16 ,NA
2011-06-18 ,2011,06-18 ,NA
2011-06-19 ,2011,06-19 ,NA
2011-06-21 ,2011,06-21 ,NA
2011-06-23 ,2011,06-23 ,NA
2011-06-24 ,2011,06-24 ,NA
2011-06-29 ,2011,06-29 ,NA
2011-06-30 ,2011,06-30 ,NA
2011-07-01 ,2011,07-01 ,NA
2011-07-06 ,2011,07-06 ,NA
2011-07-07 ,2011,07-07 ,86
2011-07-13 ,2011,07-13 ,NA
2011-07-14 ,2011,07-14 ,NA
2011-07-16 ,2011,07-16 ,NA
2011-07-18 ,2011,07-18 ,82
2011-07-21 ,2011,07-21 ,NA
2011-07-23 ,2011,07-23 ,NA
2011-07-25 ,2011,07-25 ,NA
2011-07-26 ,2011,07-26 ,89
2011-07-29 ,2011,07-29 ,NA
2011-07-30 ,2011,07-30 ,NA
2011-08-02 ,2011,08-02 ,77
2011-08-05 ,2011,08-05 ,NA
2011-08-07 ,2011,08-07 ,NA
2011-08-09 ,2011,08-09 ,82
2011-08-10 ,2011,08-10 ,NA
2011-08-11 ,2011,08-11 ,NA
2011-08-15 ,2011,08-15 ,83
2011-08-18 ,2011,08-18 ,NA
2011-08-19 ,2011,08-19 ,NA
2011-08-23 ,2011,08-23 ,NA
2011-08-24 ,2011,08-24 ,NA
2011-08-25 ,2011,08-25 ,NA
2011-08-31 ,2011,08-31 ,NA
2011-09-01 ,2011,09-01 ,85
2011-09-02 ,2011,09-02 ,NA
2011-09-04 ,2011,09-04 ,NA
2011-09-07 ,2011,09-07 ,NA
2011-09-08 ,2011,09-08 ,NA
2011-09-12 ,2011,09-12 ,NA
2011-09-13 ,2011,09-13 ,79
2011-09-17 ,2011,09-17 ,NA
2011-09-22 ,2011,09-22 ,NA
2011-09-24 ,2011,09-24 ,NA
2011-09-29 ,2011,09-29 ,NA
2011-10-01 ,2011,10-01 ,NA
2011-10-09 ,2011,10-09 ,NA
2011-10-17 ,2011,10-17 ,NA
2011-10-22 ,2011,10-22 ,NA
2011-10-27 ,2011,10-27 ,NA
2010-04-09 ,2010,04-09 ,NA
2010-04-16 ,2010,04-16 ,NA
2010-05-06 ,2010,05-06 ,NA
2010-05-07 ,2010,05-07 ,NA
2010-05-12 ,2010,05-12 ,NA
2010-05-13 ,2010,05-13 ,NA
2010-05-16 ,2010,05-16 ,NA
2010-05-21 ,2010,05-21 ,NA
2010-05-23 ,2010,05-23 ,NA
2010-05-27 ,2010,05-27 ,NA
2010-05-29 ,2010,05-29 ,NA
2010-05-30 ,2010,05-30 ,NA
2010-06-01 ,2010,06-01 ,NA
2010-06-02 ,2010,06-02 ,NA
2010-06-03 ,2010,06-03 ,70
2010-06-04 ,2010,06-04 ,NA
2010-06-09 ,2010,06-09 ,66
2010-06-10 ,2010,06-10 ,NA
2010-06-14 ,2010,06-14 ,NA
2010-06-16 ,2010,06-16 ,NA
2010-06-18 ,2010,06-18 ,NA
2010-06-19 ,2010,06-19 ,NA
2010-06-21 ,2010,06-21 ,68
2010-06-23 ,2010,06-23 ,NA
2010-06-24 ,2010,06-24 ,NA
2010-06-29 ,2010,06-29 ,NA
2010-06-30 ,2010,06-30 ,NA
2010-07-01 ,2010,07-01 ,NA
2010-07-06 ,2010,07-06 ,NA
2010-07-07 ,2010,07-07 ,NA
2010-07-13 ,2010,07-13 ,81
2010-07-14 ,2010,07-14 ,NA
2010-07-16 ,2010,07-16 ,NA
2010-07-18 ,2010,07-18 ,NA
2010-07-21 ,2010,07-21 ,NA
2010-07-23 ,2010,07-23 ,NA
2010-07-25 ,2010,07-25 ,NA
2010-07-26 ,2010,07-26 ,75
2010-07-29 ,2010,07-29 ,NA
2010-07-30 ,2010,07-30 ,NA
2010-08-02 ,2010,08-02 ,NA
2010-08-05 ,2010,08-05 ,NA
2010-08-07 ,2010,08-07 ,NA
2010-08-09 ,2010,08-09 ,NA
2010-08-10 ,2010,08-10 ,76
2010-08-11 ,2010,08-11 ,NA
2010-08-15 ,2010,08-15 ,NA
