Date,Year,Month,Value
5/16/2013,2013,16-May,65
5/21/2013,2013,21-May,0.00
5/23/2013,2013,23-May,0.00
5/27/2013,2013,27-May,0.00
5/29/2013,2013,29-May,70
5/30/2013,2013,30-May,0.00
6/1/2013,2013,1-Jun,0.00
6/2/2013,2013,2-Jun,0.00
6/3/2013,2013,3-Jun,0.00
6/4/2013,2013,4-Jun,0.00
6/9/2013,2013,9-Jun,0.00
6/10/2013,2013,10-Jun,72
6/14/2013,2013,14-Jun,0.00
6/16/2013,2013,16-Jun,0.00
6/18/2013,2013,18-Jun,73
6/19/2013,2013,19-Jun,0.00
6/21/2013,2013,21-Jun,0.00
6/23/2013,2013,23-Jun,0.00
6/24/2013,2013,24-Jun,0.00
6/29/2013,2013,29-Jun,0.00
6/30/2013,2013,30-Jun,0.00
7/1/2013,2013,1-Jul,86
7/6/2013,2013,6-Jul,0.00
7/7/2013,2013,7-Jul,0.00
7/13/2013,2013,13-Jul,0.00
7/14/2013,2013,14-Jul,0.00
7/16/2013,2013,16-Jul,0.00
7/18/2013,2013,18-Jul,74
7/21/2013,2013,21-Jul,0.00
7/23/2013,2013,23-Jul,0.00
7/25/2013,2013,25-Jul,0.00
7/26/2013,2013,26-Jul,0.00
7/29/2013,2013,29-Jul,0.00
7/30/2013,2013,30-Jul,84
8/2/2013,2013,2-Aug,0.00
8/5/2013,2013,5-Aug,0.00
8/7/2013,2013,7-Aug,0.00
8/9/2013,2013,9-Aug,0.00
8/10/2013,2013,10-Aug,0.00
8/11/2013,2013,11-Aug,0.00
8/15/2013,2013,15-Aug,0.00
8/18/2013,2013,18-Aug,0.00
8/19/2013,2013,19-Aug,0.00
8/23/2013,2013,23-Aug,0.00
8/24/2013,2013,24-Aug,0.00
8/25/2013,2013,25-Aug,0.00
8/31/2013,2013,31-Aug,0.00
9/1/2013,2013,1-Sep,0.00
9/2/2013,2013,2-Sep,0.00
9/4/2013,2013,4-Sep,0.00
9/7/2013,2013,7-Sep,0.00
9/8/2013,2013,8-Sep,0.00
9/12/2013,2013,12-Sep,89
9/13/2013,2013,13-Sep,0.00
9/17/2013,2013,17-Sep,0.00
9/22/2013,2013,22-Sep,0.00
9/24/2013,2013,24-Sep,81
9/29/2013,2013,29-Sep,0.00
10/1/2013,2013,1-Oct,0.00
10/9/2013,2013,9-Oct,0.00
10/17/2013,2013,17-Oct,0.00
10/22/2013,2013,22-Oct,0.00
10/27/2013,2013,27-Oct,0.00
4/9/2012,2012,9-Apr,71
4/16/2012,2012,16-Apr,71
5/6/2012,2012,6-May,0.00
5/7/2012,2012,7-May,74
5/12/2012,2012,12-May,0.00
5/13/2012,2012,13-May,0.00
5/16/2012,2012,16-May,0.00
5/21/2012,2012,21-May,67
5/23/2012,2012,23-May,0.00
5/27/2012,2012,27-May,0.00
5/29/2012,2012,29-May,0.00
5/30/2012,2012,30-May,68
6/1/2012,2012,1-Jun,0.00
6/2/2012,2012,2-Jun,0.00
6/3/2012,2012,3-Jun,0.00
6/4/2012,2012,4-Jun,80
6/9/2012,2012,9-Jun,0.00
6/10/2012,2012,10-Jun,0.00
6/14/2012,2012,14-Jun,68
6/16/2012,2012,16-Jun,0.00
6/18/2012,2012,18-Jun,0.00
6/19/2012,2012,19-Jun,62
6/21/2012,2012,21-Jun,0.00
6/23/2012,2012,23-Jun,0.00
6/24/2012,2012,24-Jun,0.00
6/29/2012,2012,29-Jun,0.00
6/30/2012,2012,30-Jun,0.00
7/1/2012,2012,1-Jul,68
7/6/2012,2012,6-Jul,0.00
7/7/2012,2012,7-Jul,0.00
7/13/2012,2012,13-Jul,68
7/14/2012,2012,14-Jul,0.00
7/16/2012,2012,16-Jul,0.00
7/18/2012,2012,18-Jul,0.00
7/21/2012,2012,21-Jul,0.00
7/23/2012,2012,23-Jul,65
